Graphname,Algorithmus,Startecke,Anzahl der Ecken,IO Writes,IO Reads,Runtime in ms,Gefundener Weg,Kosten
graph_10,hierholze,a5,42,131442,1810,,"[]",0
graph_10,hierholze,a6,42,133165,1810,,"[]",0
graph_10,hierholze,a7,42,134888,1810,,"[]",0
graph_10,hierholze,a8,42,136611,1810,,"[]",0
graph_10,hierholze,a9,42,138334,1810,,"[]",0
graph_10,hierholze,a10,42,140057,1810,,"[]",0
graph_10,hierholze,a11,42,141780,1810,,"[]",0
graph_10,hierholze,a12,42,143503,1810,,"[]",0
graph_10,hierholze,a13,42,145226,1810,,"[]",0
graph_10,hierholze,a14,42,146949,1810,,"[]",0
graph_10,hierholze,a15,42,148672,1810,,"[]",0
graph_10,hierholze,a16,42,150395,1810,,"[]",0
graph_10,hierholze,a17,42,152118,1810,,"[]",0
graph_10,hierholze,a18,42,153841,1810,,"[]",0
graph_10,hierholze,a19,42,155564,1810,,"[]",0
graph_10,hierholze,a20,42,157287,1810,,"[]",0
graph_10,hierholze,a21,42,159010,1810,,"[]",0
graph_10,hierholze,a22,42,160733,1810,,"[]",0
graph_10,hierholze,a23,42,162456,1810,,"[]",0
graph_10,hierholze,a24,42,164179,1810,,"[]",0
graph_10,hierholze,a25,42,165902,1810,,"[]",0
graph_10,hierholze,a26,42,167625,1810,,"[]",0
graph_10,hierholze,a27,42,169348,1810,,"[]",0
graph_10,hierholze,a28,42,171071,1810,,"[]",0
graph_10,hierholze,a29,42,172794,1810,,"[]",0
graph_10,hierholze,a30,42,174517,1810,,"[]",0
graph_10,hierholze,a31,42,176240,1810,,"[]",0
graph_10,hierholze,a32,42,177963,1810,,"[]",0
graph_10,hierholze,a33,42,179686,1810,,"[]",0
graph_10,hierholze,a34,42,181409,1810,,"[]",0
graph_10,hierholze,a35,42,183132,1810,,"[]",0
graph_10,hierholze,a36,42,184855,1810,,"[]",0
graph_10,hierholze,a37,42,186578,1810,,"[]",0
graph_10,hierholze,a38,42,188301,1810,,"[]",0
graph_10,hierholze,a39,42,190024,1810,,"[]",0
graph_10,hierholze,a40,42,191747,1810,,"[]",0
graph_10,hierholze,a41,42,193470,1810,,"[]",0
graph_10,hierholze,a42,42,195193,1810,,"[]",0
